region,year,min,nominal,max
EGY,2002,,,890.0
SLV,2002,2200.0,2600.0,2900.0
GNQ,2002,1700.0,2200.0,2800.0
ERI,2002,940.0,1300.0,1800.0
GTM,2002,2100.0,2800.0,3700.0
GIN,2002,7600.0,9400.0,11000.0
GNB,2002,3300.0,3800.0,4500.0
GUY,2002,660.0,790.0,940.0
KAZ,2002,740.0,830.0,970.0
KEN,2002,69000.0,110000.0,170000.0
KWT,2002,,,
KGZ,2002,,,
MLT,2002,,,
MRT,2002,,,
MUS,2002,1100.0,1400.0,1800.0
MEX,2002,,,
MKD,2002,,,
NOR,2002,,,
OMN,2002,,,
PAK,2002,,,
PAN,2002,,,
SAU,2002,,,
SEN,2002,4600.0,5200.0,5900.0
SRB,2002,,,
SLE,2002,5100.0,6000.0,7000.0
TJK,2002,,,
THA,2002,30000.0,34000.0,38000.0
TLS,2002,,,
TGO,2002,7900.0,9900.0,12000.0
VEN,2002,9000.0,11000.0,12000.0
VNM,2002,23000.0,25000.0,28000.0
YEM,2002,,,580.0
ZMB,2002,59000.0,69000.0,83000.0
ZWE,2002,68000.0,97000.0,130000.0
BRB,2003,,,
BLR,2003,730.0,920.0,1100.0
BEL,2003,,,
BLZ,2003,,,
CPV,2003,,,
CAF,2003,10000.0,12000.0,14000.0
TCD,2003,7700.0,9600.0,12000.0
CHL,2003,1800.0,2100.0,2400.0
DJI,2003,,750.0,1300.0
DOM,2003,4800.0,6100.0,8300.0
ECU,2003,1700.0,2500.0,4500.0
EGY,2003,,,1000.0
DEU,2003,,,
GHA,2003,20000.0,24000.0,29000.0
GRC,2003,,,
GTM,2003,2200.0,2900.0,3800.0
GIN,2003,7200.0,9000.0,11000.0
JAM,2003,1600.0,2100.0,3000.0
JPN,2003,,,
JOR,2003,,,
KAZ,2003,840.0,940.0,1100.0
MYS,2003,5200.0,5900.0,6600.0
MDV,2003,,,
MLI,2003,,,
MLT,2003,,,
NIC,2003,510.0,680.0,1100.0
NER,2003,3200.0,4000.0,4900.0
NGA,2003,72000.0,120000.0,200000.0
MKD,2003,,,
NOR,2003,,,
ROU,2003,890.0,1000.0,1200.0
RUS,2003,,,
RWA,2003,15000.0,16000.0,17000.0
SAU,2003,,,
SWE,2003,,,
CHE,2003,,,660.0
SYR,2003,,,
TJK,2003,,,
URY,2003,,,
